,lat,lon,city,country_code,city_lat,city_lon,city_temperature,city_humidity,city_windspeed,city_clouds,city_temp_max,date,sunrise
0,-95.94072110535662,0.4391200708866734,Hermanus,ZA,-34.42,19.24,67.34,69,5.28,8,67.34,1522777172,1522731445
1,-8.67621114509302,22.80135175494047,Mwene-Ditu,CD,-7.01,23.45,68.24,93,3.94,92,68.24,1522777181,1522729723
2,69.47145692378012,-64.49595477991318,Pangnirtung,CA,66.15,-65.72,30.2,63,8.05,75,30.2,1522774800,1522747552
3,-147.838323941012,12.510841906762494,Bredasdorp,ZA,-34.53,20.04,69.8,77,9.17,44,69.8,1522774800,1522731256
4,-6.607505067208621,-16.562434395213003,Georgetown,SH,-7.93,-14.42,79.94,100,11.77,8,79.94,1522777055,1522738832
5,134.9260932650247,-81.21484171524948,Qaanaaq,GL,77.48,-69.36,4.97,84,9.98,0,4.97,1522777173,1522744664
6,-173.86353229887285,-34.320922481634355,Ushuaia,AR,-54.81,-68.31,45.05,86,25.28,75,46.4,1522775880,1522753365
7,144.35865744125357,75.37841075885723,Dikson,RU,73.51,80.55,-8.18,65,11.21,0,-8.18,1522777163,1522710775
8,-13.91263567881515,27.51022276341436,Mpongwe,ZM,-13.51,28.16,70.58,72,7.18,36,70.58,1522777182,1522728745
10,170.47692678066318,11.744608636337375,Longyearbyen,SJ,78.22,15.64,10.4,46,13.87,75,10.4,1522774200,1522723863
14,79.33172340850086,-46.55496147001623,Ilulissat,GL,69.22,-51.1,15.8,78,1.12,20,15.8,1522774200,1522743456
18,11.958264358883156,-24.705712015518543,Sao Filipe,CV,14.9,-24.5,71.48,93,14,0,71.48,1522777174,1522740699
21,-7.200729724848429,-29.438739771292155,Pitimbu,BR,-7.47,-34.81,87.8,55,13.87,75,87.8,1522771200,1522743715
23,-132.78270273103138,69.3969161109413,Port Alfred,ZA,-33.59,26.89,70.13,95,3.04,44,70.13,1522777175,1522729582
24,38.255628623473,-54.75870903382523,Saint-Pierre,PM,46.77,-56.17,35.6,43,17.22,40,35.6,1522774800,1522747125
26,64.29525845115046,-58.242263927601854,Sisimiut,GL,66.94,-53.67,27.02,89,1.7,0,27.02,1522777175,1522744529
27,-158.4988787565589,38.078636230424706,Port Elizabeth,ZA,-33.92,25.57,68,88,3.36,90,68,1522774800,1522729909
29,8.194264245793647,41.37932071946997,Bedesa,ET,8.9,40.78,56.72,93,0.92,68,56.72,1522777184,1522725190
30,-39.375894392139145,-60.15053110800962,Tres Arroyos,AR,-38.38,-60.28,78.14,49,10.31,0,78.14,1522777175,1522750673
32,-73.60751381594822,27.19744918039244,Kruisfontein,ZA,-34.0,24.73,67.52,98,9.64,20,67.52,1522777176,1522730113
33,-6.490989541326684,-3.6213256729631382,Jamestown,SH,-15.94,-5.72,73.55,100,6.4,88,73.55,1522777185,1522736935
34,-25.229369598085157,-78.62583638826085,Taltal,CL,-25.41,-70.49,66.98,70,3.15,0,66.98,1522777185,1522752726
37,38.486257374225346,-11.718801870133078,Colares,PT,38.8,-9.45,60.4,82,23.04,75,60.8,1522774800,1522736314
41,96.6629438743891,-48.00141869771695,Upernavik,GL,72.79,-56.15,18.65,100,9.42,80,18.65,1522777186,1522743697
42,44.64470728268657,-16.05253196670928,Muros,ES,42.77,-9.06,48.2,87,14.99,75,48.2,1522776600,1522736042
44,-62.445986665231615,-35.96930516098721,Mar Del Plata,AR,-46.43,-67.52,66.71,56,2.26,56,66.71,1522777142,1522752730
45,13.411169768927891,-84.84288182761424,Siuna,NI,13.73,-84.78,81.47,74,2.93,12,81.47,1522777178,1522755190
46,-19.02184949881348,60.93517691052196,Quatre Cocos,MU,-20.21,57.76,82.4,78,10.29,90,82.4,1522774800,1522721803
48,1.8846765128247398,26.169064901121388,Kisangani,CD,0.52,25.21,72.11,100,3.04,88,72.11,1522777178,1522729125
49,-59.83109054933607,-74.2352767760874,Punta Arenas,CL,-53.16,-70.91,46.4,65,12.75,40,46.4,1522774800,1522753889
50,24.33844594732861,-4.237894973715697,Taoudenni,ML,22.68,-3.98,93.35,10,8.52,0,93.35,1522777187,1522735563
54,-112.17975263839179,79.06784880045058,Albany,AU,-35.02,117.88,64.01,95,8.41,92,64.01,1522777178,1522707777
59,47.08724791971417,-55.51989033656042,Grand Bank,CA,47.1,-55.77,35.6,43,17.22,40,35.6,1522774800,1522747011
74,-36.1854643481565,16.528269636809128,Cape Town,ZA,-33.93,18.42,66.2,77,13.87,0,66.2,1522774800,1522731626
89,59.98800464893691,27.805860499581215,Narva-Joesuu,EE,59.46,28.04,31.25,72,9.08,0,31.25,1522777179,1522725988
92,-28.526371134288638,-78.88934286252858,Coquimbo,CL,-29.95,-71.34,66.2,63,12.75,0,66.2,1522774800,1522753059
93,47.5403047696835,-73.62325406120632,La Tuque,CA,47.44,-72.79,31.61,58,3.38,0,31.61,1522777179,1522751071
94,69.73482909962209,57.366280148273006,Usinsk,RU,66.0,57.56,35.39,92,16.24,92,35.39,1522777188,1522718069
98,-41.17180247538215,75.7459809037546,Mahebourg,MU,-20.41,57.7,82.4,78,10.29,90,82.4,1522774800,1522721822
99,69.11481161336721,-88.76457437127112,Thompson,CA,55.74,-97.86,8.6,42,12.75,75,8.6,1522774800,1522756495
100,-45.2584210056327,-70.40532714977921,Coihaique,CL,-45.58,-72.07,57.2,82,5.82,75,59,1522774800,1522753786
102,-35.04697466730505,-79.17271192377724,Lebu,CL,-37.62,-73.65,59.06,93,1.92,44,59.06,1522777181,1522753857
106,-6.400643193824919,77.19269070186769,Hithadhoo,MV,-0.6,73.08,84.71,100,5.39,56,84.71,1522777181,1522717665
108,-47.35599646465667,-9.319110385696618,Saldanha,ZA,-33.01,17.94,71.6,49,8.05,20,71.6,1522774800,1522731713
111,69.23781204949847,-53.76434537374748,Kangaatsiaq,GL,68.31,-53.46,20.54,100,6.4,36,20.54,1522777182,1522744215
112,36.985004293569204,-74.49346476712576,Virginia Beach,US,36.85,-75.98,61.7,77,11.41,90,69.8,1522776000,1522752346
125,-6.844308968133106,-64.12107355155138,Canutama,BR,-6.53,-64.38,73.28,100,2.37,92,73.28,1522777182,1522750789
126,62.340030084688465,2.5807346974017378,Floro,NO,61.6,5.03,33.21,74,17.22,75,35.6,1522776000,1522731260
135,22.134497661159287,41.83559412984778,Mecca,SA,21.43,39.83,87.8,48,2.24,0,87.8,1522774800,1522725091
139,13.476103697708908,-73.03434382622383,Manaure,CO,11.78,-72.45,82.4,74,11.41,75,82.4,1522771200,1522752283
143,73.42003255477633,-38.109619750997844,Tasiilaq,GL,65.61,-37.64,23,67,14.99,90,23,1522774200,1522740920
146,-13.88048443691008,-51.45375307366168,Mozarlandia,BR,-14.74,-50.57,85.43,85,6.17,0,85.43,1522777148,1522747671
150,54.31865511313424,51.483244426984754,Shentala,RU,54.44,51.46,34.49,84,14.79,0,34.49,1522777192,1522720828
153,-27.54759856438318,74.30748240506315,Bambous Virieux,MU,-20.34,57.76,82.4,78,10.29,90,82.4,1522774800,1522721806
157,-30.05011435625744,-24.227091840601503,Vila Velha,BR,-3.71,-38.6,86,66,14.99,40,86,1522774800,1522744536
160,157.0482164387596,-38.09506437373697,Narsaq,GL,60.91,-46.05,42.8,30,6.93,40,42.8,1522774200,1522743574
169,-18.99189749876345,-65.34415195617115,Sucre,BO,-19.05,-65.26,57.35,78,2.71,20,57.35,1522777185,1522751304
170,33.96806520651222,-27.446460186887045,Ponta Delgada,PT,37.73,-25.67,60.8,67,20.8,20,60.8,1522774800,1522740248
173,57.09761473738084,-58.41002153131983,Saint-Augustin,CA,45.63,-73.98,40.46,51,5.82,90,42.8,1522774800,1522751457
182,-83.6605677835845,81.95674659391327,Busselton,AU,-33.64,115.35,64.55,100,17.47,0,64.55,1522777194,1522708342
185,-11.021730273207766,18.619365897223318,Luena,AO,-11.78,19.91,65.18,96,2.59,24,65.18,1522777186,1522730684
188,-27.55513365508733,27.0817286229899,Kroonstad,ZA,-27.65,27.24,61.85,88,2.71,80,61.85,1522777186,1522729325
190,-25.949888987627048,-22.355170780688482,Caravelas,BR,-17.73,-39.27,81.47,100,12.44,0,81.47,1522777186,1522745032
192,71.96643224905671,-7.56585760942599,Klaksvik,FO,62.23,-6.59,32,100,6.93,0,32,1522776000,1522733966
193,-1.3530267906365907,3.3333561983752844,Port-Gentil,GA,-0.72,8.78,84.2,79,10.29,20,84.2,1522774800,1522733097
199,17.3861178021657,-49.07152961870566,Bathsheba,BB,13.22,-59.52,84.2,70,18.34,40,84.2,1522774800,1522749144
205,-26.48180367487268,-44.226434010748584,Ilhabela,BR,-23.78,-45.36,76.97,100,9.86,20,76.97,1522777155,1522746649
207,-26.107895835983413,7.342453456756715,Walvis Bay,NA,-22.95,14.51,73.4,60,4.7,75,73.4,1522774800,1522732255
208,15.79142747065228,57.505919085413694,Salalah,OM,17.01,54.1,80.6,78,4.7,20,80.6,1522774200,1522721789
212,35.72758475935086,-47.56879898934406,Torbay,CA,47.66,-52.73,33.8,43,14.99,40,33.8,1522774800,1522746250
215,6.514938806294936,9.368701527384587,Wum,CM,6.39,10.08,78.14,57,1.81,32,78.14,1522777188,1522732616
217,20.425845015838092,-4.288349575095808,Araouane,ML,18.9,-3.53,97.31,10,3.04,0,97.31,1522777197,1522735562
219,-21.43084130840049,-42.99916793854453,Sao Joao Nepomuceno,BR,-21.54,-43.01,75.89,97,5.61,36,75.89,1522777197,1522746026
221,9.759659529135973,-12.728024230884344,Kindia,GN,10.05,-12.86,95.15,33,3.83,24,95.15,1522777189,1522738031
222,4.44041121879917,-53.82426537719262,Grand-Santi,GF,4.27,-54.38,85.25,70,2.37,48,85.25,1522777189,1522748133
235,56.967765562086385,-41.15055044391966,Nanortalik,GL,60.14,-45.24,33.77,100,18.03,8,33.77,1522777198,1522743466
240,8.687942139002558,-22.35666467719014,Praia,CV,14.92,-23.51,75.2,60,21.92,75,75.2,1522774800,1522740461
243,-5.69080258723659,50.72309946025703,Victoria,SC,-4.62,55.45,82.4,78,2.24,20,82.4,1522774800,1522721988
249,49.978099473836096,9.869899005297725,Karlstadt,DE,49.96,9.77,65.41,31,9.17,75,66.2,1522776000,1522731132
251,-35.03791024143865,28.803058814894783,East London,ZA,-33.02,27.91,68,94,3.36,0,68,1522774800,1522729320
259,31.541802701217705,42.10345599035955,Hit,IQ,33.64,42.83,78.23,29,6.17,100,78.23,1522777199,1522723982
260,-11.39505526219233,-57.32852901907186,Alta Floresta,BR,-9.87,-56.08,75.2,94,5.82,20,75.2,1522774800,1522748876
261,51.455306624781855,12.47539837098357,Taucha,DE,51.38,12.49,62.6,51,3.36,0,66.2,1522776000,1522730387
273,17.308060850985015,-20.51122512416856,Santa Maria,CV,16.6,-22.9,74.21,57,14.99,75,75.2,1522774800,1522740270
276,1.1387270178948654,-89.73078267686085,Puerto Ayora,EC,-0.74,-90.35,84.2,62,4.7,20,84.2,1522774800,1522756884
281,9.200740430952862,-10.008647709939979,Kissidougou,GN,9.19,-10.1,87.23,50,4.61,56,87.23,1522777191,1522737390
286,74.05779671674588,18.42535869793356,Tromso,NO,69.65,18.96,30.2,68,5.82,75,30.2,1522774200,1522726598
299,-41.01185556245912,-67.73704103890111,General Roca,AR,-39.03,-67.58,83,26,8.41,0,83,1522777191,1522752449
303,17.103594651840382,-72.62596412530141,Jacmel,HT,18.24,-72.54,86,58,11.41,40,86,1522774800,1522752133
308,3.5215708899512776,29.38940554179547,Watsa,CD,3.04,29.53,69.68,93,6.17,80,69.68,1522777200,1522728030
309,5.197300320093063,-2.6202252717898062,Axim,GH,4.87,-2.24,83.54,94,13.78,0,83.54,1522777192,1522735609
313,-14.627062979423982,46.40603798575239,Mahajanga,MG,-15.72,46.32,80.6,88,4.7,20,80.6,1522774800,1522724439
317,29.373911674833323,-47.92844879316503,Saint George,BM,32.38,-64.68,71.6,78,8.05,75,71.6,1522774500,1522749807
323,-26.260690844555285,87.42219226868633,Carnarvon,AU,-24.87,113.63,81.38,88,17.81,8,81.38,1522777158,1522708510
328,78.40891770624802,42.49029615561781,Ostrovnoy,RU,68.05,39.51,33.14,95,9.53,92,33.14,1522777181,1522722021
331,27.526380895471874,-24.446366220335563,Los Llanos De Aridane,ES,28.66,-17.92,68,68,12.75,20,68,1522776600,1522738721
334,-31.597959340541763,-79.48069926096282,Constitucion,CL,-35.33,-72.42,59.6,96,4.61,20,59.6,1522777184,1522753485
340,-25.93054285523732,59.13034354620436,Souillac,MU,-20.52,57.52,82.4,78,10.29,90,82.4,1522774800,1522721868
349,72.4832073781385,-72.2327099894048,Clyde River,CA,70.47,-68.59,10.4,78,14.99,90,10.4,1522773960,1522747342
358,9.117202996729787,9.558042597300997,Jos,NG,9.92,8.9,82.01,25,4.72,8,82.01,1522777194,1522732813
370,-1.9376642268683213,-28.679295998668906,Touros,BR,-5.2,-35.46,85.07,76,15.57,56,85.07,1522777203,1522743817
373,25.278942570695904,44.89435146664289,Buraydah,SA,26.33,43.97,80.6,51,11.41,75,80.6,1522774800,1522723953
380,-32.668251805329504,61.96379786928111,Saint-Philippe,RE,-21.36,55.77,80.6,78,12.75,90,80.6,1522774800,1522722309
388,59.746683398588516,18.66465709965142,Norrtalje,SE,59.76,18.7,37.4,34,11.41,0,37.4,1522776000,1522728193
390,-9.520836509283583,-46.1694552729829,Morros,BR,-2.87,-44.04,84.2,79,10.29,75,84.2,1522774800,1522745822
393,-8.826321291545327,19.13719322733712,Saurimo,AO,-9.66,20.4,69.32,95,3.15,36,69.32,1522777195,1522730516
398,-27.167620265463,-33.978617343110606,Sao Joao Da Barra,BR,-21.64,-41.05,91.4,49,17.02,20,91.4,1522771200,1522745558
400,-23.924213096274116,-67.98792760960285,Calama,CL,-22.46,-68.93,68,16,5.82,0,68,1522771200,1522752273
404,-36.08870180624777,-42.62270170901928,Cidreira,BR,-30.17,-50.22,72.47,95,5.39,100,72.47,1522777195,1522747994
405,49.29143281531961,-51.263612939819104,Bonavista,CA,48.65,-53.11,26.39,98,22.5,8,26.39,1522777204,1522746282
408,68.36393503880933,78.18538436313872,Tazovskiy,RU,67.47,78.7,-8.09,65,8.97,36,-8.09,1522777196,1522712754
430,57.938869455082965,0.7688565378254566,Peterhead,GB,57.51,-1.8,37.4,93,6.93,75,37.4,1522776000,1522733326
432,44.2706434214648,31.390674846543632,Sfantu Gheorghe,RO,44.65,26.83,58.12,65,3.36,0,60.8,1522774800,1522727345
433,26.447150903147445,38.90616159071121,Umm Lajj,SA,25.02,37.27,70.4,95,4.05,0,70.4,1522777196,1522725600
437,20.784544079836763,59.05240502728111,Sur,OM,22.57,59.53,81.38,81,6.17,20,81.38,1522777168,1522720334
451,3.7597686522567813,-22.887803631268312,Bubaque,GW,11.28,-15.83,89.6,46,11.41,0,89.6,1522774800,1522738712
460,-32.31710842399818,25.361512768147236,Cradock,ZA,-32.16,25.62,60.59,88,0.47,24,60.59,1522777197,1522729844
461,42.98731885786512,69.7495598679059,Aksu,KZ,52.04,76.93,26.6,92,6.71,0,26.6,1522774800,1522714901
471,46.48870135746043,-55.09180985653336,Marystown,CA,47.17,-55.16,32.24,82,20.04,8,32.24,1522777197,1522746861
482,22.972466890315474,79.28291494359746,Narsimhapur,IN,17.14,74.26,68.06,50,2.15,0,68.06,1522777198,1522716950
484,25.855924192261995,-26.440385439042558,Ponta Do Sol,CV,17.2,-25.09,69.32,100,14.67,88,69.32,1522777198,1522740780
487,75.85427680018188,87.69333670378899,Talnakh,RU,69.49,88.39,-10.25,70,7.74,64,-10.25,1522777198,1522710024
492,-11.625782386955962,-63.72577729502491,Rodrigues Alves,BR,-7.74,-72.65,75.2,88,4.7,90,75.2,1522771200,1522752802
496,21.581176775646043,-16.205601011641775,Nouadhibou,MR,20.93,-17.03,69.8,73,20.8,44,69.8,1522774800,1522738743
500,56.31608401163143,-0.07378838529062648,Blyth,GB,55.12,-1.5,45.55,100,3.36,75,51.8,1522776000,1522733462
501,-11.165846226246202,27.922786169709894,Lubumbashi,CD,-11.66,27.48,67.61,90,5.17,68,67.61,1522777198,1522728864
511,20.474180158829597,10.19278530508177,Bilma,NE,18.69,12.92,81.65,17,7.18,0,81.65,1522777198,1522731622
518,-38.03486633276006,-47.62762870090244,Chuy,UY,-33.69,-53.46,71.66,93,7.63,56,71.66,1522777199,1522748879
521,-1.642547855087514,10.46296739138981,Fougamou,GA,-1.22,10.59,78.32,90,3.49,100,78.32,1522777199,1522732674
542,-12.345962782570382,-39.303996155771536,Santo Estevao,BR,-12.43,-39.25,92.27,45,5.5,36,92.27,1522777199,1522744898
551,29.783089199813475,64.04458424852416,Dalbandin,PK,28.9,64.41,64.19,44,4.05,12,64.19,1522777199,1522718970
552,-14.221048271580372,-70.53458140508656,Macusani,PE,-14.07,-70.43,55.1,100,2.71,92,55.1,1522777199,1522752421
560,51.28907255951208,-31.96275977194216,Lagoa,PT,37.14,-8.45,62.6,77,17.22,20,62.6,1522774800,1522736143
567,74.66164846458827,33.5618148030393,Vardo,NO,70.37,31.11,29.57,100,25.28,90,30.2,1522774200,1522723520
583,0.5197376853783169,-17.617535503385525,Bonthe,SL,7.53,-12.5,83.27,74,6.06,76,83.27,1522777209,1522738006
584,63.267178420380844,52.87830767830661,Borovoy,RU,63.23,52.89,39.08,89,14.67,88,39.08,1522777209,1522719595
588,-0.09754690794156318,67.88354162587305,Thinadhoo,MV,0.53,72.93,84.8,100,1.59,44,84.8,1522777201,1522717675
590,-6.954553065492547,16.09925073291093,Kasongo-Lunda,CD,-6.48,16.82,74.99,85,2.37,92,74.99,1522777210,1522731301
592,60.280449574574675,-13.30740118562882,Hofn,IS,64.25,-15.21,35.12,100,19.48,0,35.12,1522777201,1522735758
594,50.00906657357254,88.93102476735154,Kosh-Agach,RU,49.99,88.66,3.08,50,10.87,32,3.08,1522777201,1522712224
602,-44.0048746908634,-28.456448680929917,Arraial Do Cabo,BR,-22.97,-42.02,92.23,53,9.17,20,95,1522774800,1522745826
606,45.265054786899185,85.84560212565896,Baijiantan,CN,45.63,85.18,37.82,60,12.33,0,37.82,1522777202,1522713308
609,65.99079867250052,-75.93502482139647,Iqaluit,CA,63.75,-68.52,14,85,28.86,90,14,1522774800,1522748593
610,5.660799409026652,83.44805645715158,Wattegama,LK,7.35,80.68,68.6,95,2.59,12,68.6,1522777202,1522715655
623,-17.413084619038983,-54.829527082821215,Rondonopolis,BR,-16.46,-54.64,83.45,83,4.38,44,83.45,1522777211,1522748690
625,15.22942759336513,42.700106098818765,Bajil,YE,15.06,43.29,83.72,48,2.82,20,83.72,1522777212,1522724433
629,58.73910844148142,-8.432643240750892,Stornoway,GB,58.21,-6.39,37.4,86,14.99,75,37.4,1522776000,1522734359
639,8.375935671722061,71.63048995570065,Dhidhdhoo,MV,6.88,73.1,83.72,100,4.72,68,83.72,1522777038,1522717485
642,33.651780210237234,-65.90964946468638,Hamilton,BM,32.3,-64.78,71.6,78,8.05,75,71.6,1522774500,1522749834
644,-9.809538442951975,-35.94021233392926,Marechal Deodoro,BR,-9.71,-35.9,84.2,66,14.99,40,84.2,1522774800,1522744029
649,61.501853130253664,1.705796579618351,Lerwick,GB,60.15,-1.15,36.5,100,14.99,20,37.4,1522776000,1522732905
653,-16.912745709852658,-89.04228862741024,Hualmay,PE,-11.1,-77.61,75.62,73,5.28,8,75.62,1522777213,1522754073
668,-18.06720449055078,-67.3490326161782,Oruro,BO,-17.97,-67.11,59,44,10.29,20,59,1522774800,1522751721
673,12.25135533734678,49.32389473248023,Qandala,SO,11.47,49.87,74.18,88,3.04,80,74.18,1522777204,1522722946
676,-29.495324592129464,-45.37454697050634,Imbituba,BR,-28.24,-48.67,78.8,74,17.22,40,78.8,1522774800,1522747566
677,60.57294326052278,87.15446751842936,Belyy Yar,RU,53.6,91.39,24.8,62,6.71,0,24.8,1522774800,1522711324
693,31.10127249338825,80.51042363605751,Joshimath,IN,30.57,79.57,20.09,100,0.25,20,20.09,1522777205,1522715280
696,14.399309478818935,38.17210496236544,Aksum,ET,14.12,38.72,69.05,39,3.27,80,69.05,1522777205,1522725554
698,52.12475759905493,35.50750487143836,Zheleznogorsk,RU,56.25,93.53,23,85,13.42,75,23,1522774800,1522710602
699,21.67334105524813,78.01454878730846,Betul,IN,21.92,77.9,72.11,64,2.82,20,72.11,1522777214,1522715946
703,23.626696996879872,-65.27188685271477,San Juan,US,26.19,-98.16,83.1,65,18.34,90,84.2,1522775700,1522758044
704,68.1378509600026,12.411295287171228,Sorland,NO,67.67,12.69,30.16,68,6.93,0,33.8,1522776000,1522728512
706,-1.6317060834764163,30.527238784820682,Rwamagana,RW,-1.95,30.43,62.6,93,2.24,75,62.6,1522774800,1522727930
707,24.712280902541323,-81.66297947845673,Key West,US,47.93,-96.78,14.05,66,11.41,1,15.8,1522775700,1522756791
709,26.99191629860249,72.14141383494692,Pokaran,IN,26.93,71.92,82.01,31,9.19,0,82.01,1522777215,1522717232
711,19.07251660594011,7.096001312057908,Arlit,NE,18.74,7.39,86.51,25,3.83,92,86.51,1522777207,1522732947
712,24.465429212276774,55.806215811782664,Dubai,AE,25.27,55.3,78.8,61,8.05,0,78.8,1522774800,1522721268
722,9.63840318799717,23.29056846735999,Birao,CF,10.3,22.78,85.79,17,9.75,0,85.79,1522777207,1522729474
724,-41.71624121736974,-88.8562952519652,Ancud,CL,-41.87,-73.83,59.42,97,14.45,92,59.42,1522777207,1522754056
728,-32.371665768323936,1.1771247512468364,Luderitz,NA,-26.65,15.16,78.8,54,9.17,88,78.8,1522774800,1522732197
738,20.197614113703878,-79.69698965681685,Trinidad,CU,21.81,-79.98,84.2,54,11.41,20,84.2,1522774620,1522753817
740,14.688645282482895,85.2939360042491,Yarada,IN,17.65,83.27,83.81,96,14.67,20,83.81,1522777208,1522714775
744,46.17821198594703,-69.89611848785985,Saint-Prosper,CA,46.21,-70.48,40.61,49,7.18,76,40.61,1522777217,1522750586
749,-20.30854623092847,22.549643113066907,Sehithwa,BW,-20.47,22.7,75.08,50,10.65,8,75.08,1522777217,1522730225
752,61.55698315876978,35.72503744790441,Sheltozero,RU,61.37,35.37,30.71,81,21.5,64,30.71,1522777218,1522724022
754,42.38205535361013,15.031127432009754,Termoli,IT,42.0,14.99,56.45,68,3.94,64,56.45,1522777209,1522730313
758,67.7811124281348,24.717331081765053,Rovaniemi,FI,66.5,25.72,28.4,92,13.87,75,28.4,1522776000,1522725606
760,-3.391344076530345,-37.62291818757222,Aquiraz,BR,-3.9,-38.39,86,66,14.99,40,86,1522774800,1522744490
763,-12.263362801771422,-28.00509855571984,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,82.01,91,9.19,0,82.01,1522777218,1522743830
778,-49.29933330374271,-84.6110601638819,Castro,CL,-42.48,-73.76,58.88,95,12.21,92,58.88,1522777210,1522754063
782,1.7146720213799824,16.44124471305038,Ouesso,CG,1.61,16.05,84.89,65,3.49,48,84.89,1522777210,1522731298
783,53.450101659104206,67.3135726066717,Sergeyevka,KZ,53.88,67.42,22.34,73,7.96,0,22.34,1522777219,1522717047
786,58.6799355873099,65.07344356412813,Tabory,RU,64.46,39.75,35.6,100,11.18,75,35.6,1522774800,1522722570
788,-45.63086972910634,-65.09776054449055,Rawson,AR,-43.3,-65.11,80.84,33,7.96,0,80.84,1522777219,1522752018
794,-29.803936526966226,40.92737679033456,Beloha,MG,-25.17,45.06,77.69,72,15.79,0,77.69,1522777211,1522724979
799,51.45808272607093,-77.04737845513061,Matagami,CA,49.76,-77.63,10.4,35,5.82,1,10.4,1522774800,1522752089
802,43.7918372940245,77.25517228313456,Esik,KZ,43.36,77.47,39.2,60,2.24,40,39.2,1522774800,1522715271
807,-10.32373447152176,-79.30907164434026,Huarmey,PE,-10.07,-78.15,78.77,54,3.71,12,78.77,1522777220,1522754178
815,5.650278347661725,65.34882355048535,Ugoofaaru,MV,5.67,73,85.25,100,5.28,0,85.25,1522777212,1522717538
833,-30.94306722343856,19.818200626309704,Calvinia,ZA,-31.47,19.78,71.57,41,4.83,68,71.57,1522777212,1522731225
835,47.02330224935528,34.70953229711435,Vesele,UA,47.02,34.92,41.87,79,4.38,0,41.87,1522777221,1522725279
843,44.375640521819435,51.176250478634614,Aktau,KZ,43.65,51.16,46.4,93,8.95,0,46.4,1522774800,1522721563
848,14.796143898204605,-7.164445312493555,Nara,ML,15.17,-7.29,102.26,15,4.16,0,102.26,1522777213,1522736564
851,-7.15726257191784,-84.6226592263606,Paita,PE,-5.09,-81.11,84.2,58,8.05,0,84.2,1522774800,1522754770
856,-20.254885255097236,53.978498376308266,Le Port,RE,-20.94,55.29,80.6,74,13.87,0,80.6,1522774800,1522722414
862,7.838652094001702,-84.53355482706367,Buenos Aires,CR,9.17,-83.33,86.42,56,3.27,0,86.42,1522777214,1522754959
867,-33.46883282488204,-68.4872226917038,Rivadavia,AR,-31.53,-68.59,80.57,49,2.82,0,80.57,1522777214,1522752445
873,14.649413596576863,87.52162059810846,Narasannapeta,IN,18.42,84.04,71.39,100,0.81,0,71.39,1522777214,1522714570
875,1.080764549044062,27.450471900060947,Wamba,CD,2.14,27.99,69.77,95,2.26,88,69.77,1522777214,1522728420
885,55.15498073025981,82.10852976178103,Chik,RU,54.99,82.44,15.8,72,6.71,40,15.8,1522774800,1522713362
889,0.22881074066836504,27.57944672618956,Butembo,CD,0.12,29.29,61.94,100,2.59,92,61.94,1522777215,1522728155
894,17.98652739661327,78.9297839516544,Siddipet,IN,18.1,78.85,68.51,81,3.27,0,68.51,1522777215,1522715823
901,46.939773425782136,-72.09420814527611,Saint-Marc-Des-Carrieres,CA,46.68,-72.05,33.8,55,4.7,90,33.8,1522774800,1522750936
903,24.64280777944043,29.066545698936423,Tahta,EG,26.77,31.5,77,36,21.92,0,77,1522774800,1522726930
905,49.964649388091175,-66.82838881569711,Port-Cartier,CA,50.03,-66.88,28.4,68,12.75,90,28.4,1522774800,1522749496
911,-30.880858092473034,25.880860914494832,Burgersdorp,ZA,-30.99,26.32,54.2,97,2.59,68,54.2,1522777216,1522729641
913,66.94911127118195,7.985853938687129,Sistranda,NO,63.73,8.83,39.2,44,9.17,0,39.2,1522776000,1522730077
916,17.43118756760822,80.44912588371622,Yellandu,IN,17.59,80.32,76.52,59,7.07,0,76.52,1522777225,1522715484
920,52.74461610126559,16.004996610349252,Miedzychod,PL,52.6,15.9,57.2,62,4.7,0,57.2,1522776600,1522729485
931,38.46363013590204,3.857671322809736,Felanitx,ES,39.47,3.15,60.8,87,8.05,75,60.8,1522776600,1522733265
948,15.382890724171801,80.57942530715627,Vetapalem,IN,15.78,80.32,82.01,98,13.44,0,82.01,1522777217,1522715532
955,51.209429283705504,-20.027546838750794,Dingle,IE,52.14,-10.27,48.62,89,11.32,24,48.62,1522777217,1522735788
959,1.3554686130147502,14.375369164805846,Sembe,CG,1.65,14.58,78.59,79,2.71,68,78.59,1522777217,1522731649
967,-0.14350212007670393,-48.51798333459693,Soure,BR,-0.72,-48.52,81.38,96,3.94,64,81.38,1522777226,1522746846
972,27.758348265771588,-9.961274255285346,Tiznit,MA,29.7,-9.73,62.75,79,11.1,44,62.75,1522777227,1522736723
979,42.13330908946483,39.52394414851645,Akcaabat,TR,41.02,39.57,50,71,4.7,20,50,1522774200,1522724465
981,42.29952060605714,74.53264400959767,Kant,KG,42.89,74.85,26.57,67,1.92,0,26.57,1522777227,1522715922
985,37.77551383586629,-87.12738342458256,Owensboro,US,37.77,-87.11,70.25,77,20.8,1,71.6,1522774560,1522754976
991,8.400112459737556,68.35320022759797,Kavaratti,IN,10.57,72.64,84.17,100,8.86,0,84.17,1522777228,1522717506
1005,9.408556775729096,-41.45503682262359,Carutapera,BR,-1.2,-46.02,82.64,87,4.38,76,82.64,1522777220,1522746257
